"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-22","high_c_east","high","east","c",18.1636157407407,NA,"temp.max"
"2017-02-22","high_c_west","high","west","c",19.1621395502645,NA,"temp.max"
"2017-02-22","high_u_east","high","east","u",18.2684664351852,NA,"temp.max"
"2017-02-22","high_u_west","high","west","u",18.3048611111111,NA,"temp.max"
"2017-02-22","low_c_east","low","east","c",22.2797222222222,NA,"temp.max"
"2017-02-22","low_c_west","low","west","c",22.6344444444444,NA,"temp.max"
"2017-02-22","low_u_east","low","east","u",22.3597222222222,NA,"temp.max"
"2017-02-22","low_u_west","low","west","u",22.0036535493827,NA,"temp.max"
"2017-02-23","high_c_east","high","east","c",19.2032592592593,NA,"temp.max"
"2017-02-23","high_c_west","high","west","c",21.0255026455026,NA,"temp.max"
"2017-02-23","high_u_east","high","east","u",18.8021759259259,NA,"temp.max"
"2017-02-23","high_u_west","high","west","u",20.424083994709,NA,"temp.max"
"2017-02-23","low_c_east","low","east","c",24.5687962962963,NA,"temp.max"
"2017-02-23","low_c_west","low","west","c",24.5019135802469,NA,"temp.max"
"2017-02-23","low_u_east","low","east","u",23.7173418209877,NA,"temp.max"
"2017-02-23","low_u_west","low","west","u",23.7725462962963,NA,"temp.max"
"2017-02-24","high_c_east","high","east","c",19.520337962963,NA,"temp.max"
"2017-02-24","high_c_west","high","west","c",19.6265046296296,NA,"temp.max"
"2017-02-24","high_u_east","high","east","u",19.2250520833333,NA,"temp.max"
"2017-02-24","high_u_west","high","west","u",19.1549966931217,NA,"temp.max"
"2017-02-24","low_c_east","low","east","c",24.045419973545,NA,"temp.max"
"2017-02-24","low_c_west","low","west","c",23.3430324074074,NA,"temp.max"
"2017-02-24","low_u_east","low","east","u",23.3919868827161,NA,"temp.max"
"2017-02-24","low_u_west","low","west","u",22.8059104938272,NA,"temp.max"
"2017-02-25","high_c_east","high","east","c",19.0795925925926,NA,"temp.max"
"2017-02-25","high_c_west","high","west","c",20.1127612433862,NA,"temp.max"
"2017-02-25","high_u_east","high","east","u",18.8983101851852,NA,"temp.max"
"2017-02-25","high_u_west","high","west","u",19.3415873015873,NA,"temp.max"
"2017-02-25","low_c_east","low","east","c",23.0477248677249,NA,"temp.max"
"2017-02-25","low_c_west","low","west","c",23.6320640432099,NA,"temp.max"
"2017-02-25","low_u_east","low","east","u",22.8225694444444,NA,"temp.max"
"2017-02-25","low_u_west","low","west","u",22.7608101851852,NA,"temp.max"
"2017-02-26","high_c_east","high","east","c",18.1424398148148,NA,"temp.max"
"2017-02-26","high_c_west","high","west","c",19.3342427248677,NA,"temp.max"
"2017-02-26","high_u_east","high","east","u",18.1093923611111,NA,"temp.max"
"2017-02-26","high_u_west","high","west","u",19.082662037037,NA,"temp.max"
"2017-02-26","low_c_east","low","east","c",22.2676951058201,NA,"temp.max"
"2017-02-26","low_c_west","low","west","c",23.1955439814815,NA,"temp.max"
"2017-02-26","low_u_east","low","east","u",22.2681018518518,NA,"temp.max"
"2017-02-26","low_u_west","low","west","u",22.5901774691358,NA,"temp.max"
"2017-02-27","high_c_east","high","east","c",18.6204351851852,NA,"temp.max"
"2017-02-27","high_c_west","high","west","c",18.8949537037037,NA,"temp.max"
"2017-02-27","high_u_east","high","east","u",18.3361168981481,NA,"temp.max"
"2017-02-27","high_u_west","high","west","u",18.6888624338624,NA,"temp.max"
"2017-02-27","low_c_east","low","east","c",23.4728538359788,NA,"temp.max"
"2017-02-27","low_c_west","low","west","c",23.4073225308642,NA,"temp.max"
"2017-02-27","low_u_east","low","east","u",22.9651736111111,NA,"temp.max"
"2017-02-27","low_u_west","low","west","u",22.8563348765432,NA,"temp.max"
"2017-02-28","high_c_east","high","east","c",19.569625,NA,"temp.max"
"2017-02-28","high_c_west","high","west","c",19.9570701058201,NA,"temp.max"
"2017-02-28","high_u_east","high","east","u",19.1113252314815,NA,"temp.max"
"2017-02-28","high_u_west","high","west","u",19.3416600529101,NA,"temp.max"
"2017-02-28","low_c_east","low","east","c",24.9320833333333,NA,"temp.max"
"2017-02-28","low_c_west","low","west","c",24.1992785493827,NA,"temp.max"
"2017-02-28","low_u_east","low","east","u",24.0788464506173,NA,"temp.max"
"2017-02-28","low_u_west","low","west","u",23.3621103395062,NA,"temp.max"
"2017-03-01","high_c_east","high","east","c",19.2459675925926,NA,"temp.max"
"2017-03-01","high_c_west","high","west","c",19.5855720899471,NA,"temp.max"
"2017-03-01","high_u_east","high","east","u",19.0622858796296,NA,"temp.max"
"2017-03-01","high_u_west","high","west","u",19.0946461640212,NA,"temp.max"
"2017-03-01","low_c_east","low","east","c",25.4518518518519,NA,"temp.max"
"2017-03-01","low_c_west","low","west","c",23.3895061728395,NA,"temp.max"
"2017-03-01","low_u_east","low","east","u",24.5760725308642,NA,"temp.max"
"2017-03-01","low_u_west","low","west","u",22.754274691358,NA,"temp.max"
"2017-03-02","high_c_east","high","east","c",19.9394537037037,NA,"temp.max"
"2017-03-02","high_c_west","high","west","c",20.0300694444444,NA,"temp.max"
"2017-03-02","high_u_east","high","east","u",19.5845081018518,NA,"temp.max"
"2017-03-02","high_u_west","high","west","u",19.4644146825397,NA,"temp.max"
"2017-03-02","low_c_east","low","east","c",24.7298611111111,NA,"temp.max"
"2017-03-02","low_c_west","low","west","c",24.2262962962963,NA,"temp.max"
"2017-03-02","low_u_east","low","east","u",23.9332793209877,NA,"temp.max"
"2017-03-02","low_u_west","low","west","u",23.202611882716,NA,"temp.max"
"2017-03-03","high_c_east","high","east","c",19.8906990740741,NA,"temp.max"
"2017-03-03","high_c_west","high","west","c",19.6963392857143,NA,"temp.max"
"2017-03-03","high_u_east","high","east","u",19.443755787037,NA,"temp.max"
"2017-03-03","high_u_west","high","west","u",19.0768981481481,NA,"temp.max"
"2017-03-03","low_c_east","low","east","c",25.4239880952381,NA,"temp.max"
"2017-03-03","low_c_west","low","west","c",24.0619212962963,NA,"temp.max"
"2017-03-03","low_u_east","low","east","u",24.3329166666667,NA,"temp.max"
"2017-03-03","low_u_west","low","west","u",23.142962962963,NA,"temp.max"
"2017-03-04","high_c_east","high","east","c",18.1152685185185,NA,"temp.max"
"2017-03-04","high_c_west","high","west","c",20.651044973545,NA,"temp.max"
"2017-03-04","high_u_east","high","east","u",18.0050462962963,NA,"temp.max"
"2017-03-04","high_u_west","high","west","u",19.9735218253968,NA,"temp.max"
"2017-03-04","low_c_east","low","east","c",22.4446693121693,NA,"temp.max"
"2017-03-04","low_c_west","low","west","c",24.3712114197531,NA,"temp.max"
"2017-03-04","low_u_east","low","east","u",22.5251195987654,NA,"temp.max"
"2017-03-04","low_u_west","low","west","u",23.5163811728395,NA,"temp.max"
"2017-03-05","high_c_east","high","east","c",18.7496805555556,NA,"temp.max"
"2017-03-05","high_c_west","high","west","c",20.1093617724868,NA,"temp.max"
"2017-03-05","high_u_east","high","east","u",18.5425520833333,NA,"temp.max"
"2017-03-05","high_u_west","high","west","u",19.6210350529101,NA,"temp.max"
"2017-03-05","low_c_east","low","east","c",22.9927347883598,NA,"temp.max"
"2017-03-05","low_c_west","low","west","c",24.688599537037,NA,"temp.max"
"2017-03-05","low_u_east","low","east","u",22.6610030864198,NA,"temp.max"
"2017-03-05","low_u_west","low","west","u",23.9238734567901,NA,"temp.max"
"2017-03-06","high_c_east","high","east","c",18.6685462962963,NA,"temp.max"
"2017-03-06","high_c_west","high","west","c",19.7646461640212,NA,"temp.max"
"2017-03-06","high_u_east","high","east","u",18.5608217592593,NA,"temp.max"
"2017-03-06","high_u_west","high","west","u",19.5029232804233,NA,"temp.max"
"2017-03-06","low_c_east","low","east","c",21.8917857142857,NA,"temp.max"
"2017-03-06","low_c_west","low","west","c",23.9530478395062,NA,"temp.max"
"2017-03-06","low_u_east","low","east","u",21.8975347222222,NA,"temp.max"
"2017-03-06","low_u_west","low","west","u",23.2410223765432,NA,"temp.max"
"2017-03-07","high_c_east","high","east","c",18.481837962963,NA,"temp.max"
"2017-03-07","high_c_west","high","west","c",19.5353935185185,NA,"temp.max"
"2017-03-07","high_u_east","high","east","u",18.3439930555556,NA,"temp.max"
"2017-03-07","high_u_west","high","west","u",19.2308035714286,NA,"temp.max"
"2017-03-07","low_c_east","low","east","c",21.7739054232804,NA,"temp.max"
"2017-03-07","low_c_west","low","west","c",23.7458333333333,NA,"temp.max"
"2017-03-07","low_u_east","low","east","u",21.7680054012346,NA,"temp.max"
"2017-03-07","low_u_west","low","west","u",23.0214583333333,NA,"temp.max"
"2017-03-08","high_c_east","high","east","c",18.3973101851852,NA,"temp.max"
"2017-03-08","high_c_west","high","west","c",20.1754993386243,NA,"temp.max"
"2017-03-08","high_u_east","high","east","u",18.3782407407407,NA,"temp.max"
"2017-03-08","high_u_west","high","west","u",19.3658002645503,NA,"temp.max"
"2017-03-08","low_c_east","low","east","c",21.9724768518519,NA,"temp.max"
"2017-03-08","low_c_west","low","west","c",23.6021412037037,NA,"temp.max"
"2017-03-08","low_u_east","low","east","u",22.0179089506173,NA,"temp.max"
"2017-03-08","low_u_west","low","west","u",22.9342322530864,NA,"temp.max"
"2017-03-09","high_c_east","high","east","c",19.0181898148148,NA,"temp.max"
"2017-03-09","high_c_west","high","west","c",19.8841633597884,NA,"temp.max"
"2017-03-09","high_u_east","high","east","u",18.8042708333333,NA,"temp.max"
"2017-03-09","high_u_west","high","west","u",19.3775892857143,NA,"temp.max"
"2017-03-09","low_c_east","low","east","c",23.377251984127,NA,"temp.max"
"2017-03-09","low_c_west","low","west","c",23.3473148148148,NA,"temp.max"
"2017-03-09","low_u_east","low","east","u",22.8818441358025,NA,"temp.max"
"2017-03-09","low_u_west","low","west","u",22.9017824074074,NA,"temp.max"
"2017-03-10","high_c_east","high","east","c",18.8424675925926,NA,"temp.max"
"2017-03-10","high_c_west","high","west","c",20.5568452380952,NA,"temp.max"
"2017-03-10","high_u_east","high","east","u",18.6894270833333,NA,"temp.max"
"2017-03-10","high_u_west","high","west","u",19.8040806878307,NA,"temp.max"
"2017-03-10","low_c_east","low","east","c",22.5545734126984,NA,"temp.max"
"2017-03-10","low_c_west","low","west","c",24.0204089506173,NA,"temp.max"
"2017-03-10","low_u_east","low","east","u",22.4131442901235,NA,"temp.max"
"2017-03-10","low_u_west","low","west","u",23.0992438271605,NA,"temp.max"
"2017-03-11","high_c_east","high","east","c",18.2429027777778,NA,"temp.max"
"2017-03-11","high_c_west","high","west","c",19.0522982804233,NA,"temp.max"
"2017-03-11","high_u_east","high","east","u",18.1625289351852,NA,"temp.max"
"2017-03-11","high_u_west","high","west","u",18.8339649470899,NA,"temp.max"
"2017-03-11","low_c_east","low","east","c",22.3755687830688,NA,"temp.max"
"2017-03-11","low_c_west","low","west","c",22.4801273148148,NA,"temp.max"
"2017-03-11","low_u_east","low","east","u",22.2998225308642,NA,"temp.max"
"2017-03-11","low_u_west","low","west","u",22.0742785493827,NA,"temp.max"
"2017-03-12","high_c_east","high","east","c",18.7879583333333,NA,"temp.max"
"2017-03-12","high_c_west","high","west","c",20.9646395502645,NA,"temp.max"
"2017-03-12","high_u_east","high","east","u",18.5702314814815,NA,"temp.max"
"2017-03-12","high_u_west","high","west","u",19.8519477513227,NA,"temp.max"
"2017-03-12","low_c_east","low","east","c",23.0159656084656,NA,"temp.max"
"2017-03-12","low_c_west","low","west","c",23.4260339506173,NA,"temp.max"
"2017-03-12","low_u_east","low","east","u",22.5585223765432,NA,"temp.max"
"2017-03-12","low_u_west","low","west","u",22.7513773148148,NA,"temp.max"
"2017-03-13","high_c_east","high","east","c",19.3258333333333,NA,"temp.max"
"2017-03-13","high_c_west","high","west","c",20.2317096560847,NA,"temp.max"
"2017-03-13","high_u_east","high","east","u",19.0513773148148,NA,"temp.max"
"2017-03-13","high_u_west","high","west","u",19.7459093915344,NA,"temp.max"
"2017-03-13","low_c_east","low","east","c",23.7820403439153,NA,"temp.max"
"2017-03-13","low_c_west","low","west","c",24.3002469135802,NA,"temp.max"
"2017-03-13","low_u_east","low","east","u",23.3087229938272,NA,"temp.max"
"2017-03-13","low_u_west","low","west","u",23.4364158950617,NA,"temp.max"
"2017-03-14","high_c_east","high","east","c",19.4623009259259,NA,"temp.max"
"2017-03-14","high_c_west","high","west","c",19.1493816137566,NA,"temp.max"
"2017-03-14","high_u_east","high","east","u",19.2975520833333,NA,"temp.max"
"2017-03-14","high_u_west","high","west","u",18.7096990740741,NA,"temp.max"
"2017-03-14","low_c_east","low","east","c",24.5144146825397,NA,"temp.max"
"2017-03-14","low_c_west","low","west","c",22.7720679012346,NA,"temp.max"
"2017-03-14","low_u_east","low","east","u",23.8732561728395,NA,"temp.max"
"2017-03-14","low_u_west","low","west","u",22.2278202160494,NA,"temp.max"
"2017-03-15","high_c_east","high","east","c",19.3005416666667,NA,"temp.max"
"2017-03-15","high_c_west","high","west","c",20.2543022486772,NA,"temp.max"
"2017-03-15","high_u_east","high","east","u",19.2115277777778,NA,"temp.max"
"2017-03-15","high_u_west","high","west","u",19.1390013227513,NA,"temp.max"
"2017-03-15","low_c_east","low","east","c",22.6188326719577,NA,"temp.max"
"2017-03-15","low_c_west","low","west","c",23.3115779320988,NA,"temp.max"
"2017-03-15","low_u_east","low","east","u",22.4876388888889,NA,"temp.max"
"2017-03-15","low_u_west","low","west","u",22.484212962963,NA,"temp.max"
"2017-03-16","high_c_east","high","east","c",20.5707407407407,NA,"temp.max"
"2017-03-16","high_c_west","high","west","c",20.0861309523809,NA,"temp.max"
"2017-03-16","high_u_east","high","east","u",19.9107696759259,NA,"temp.max"
"2017-03-16","high_u_west","high","west","u",19.540205026455,NA,"temp.max"
"2017-03-16","low_c_east","low","east","c",25.7603505291005,NA,"temp.max"
"2017-03-16","low_c_west","low","west","c",24.2426466049383,NA,"temp.max"
"2017-03-16","low_u_east","low","east","u",24.5253665123457,NA,"temp.max"
"2017-03-16","low_u_west","low","west","u",23.2638387345679,NA,"temp.max"
"2017-03-17","high_c_east","high","east","c",19.4762175925926,NA,"temp.max"
"2017-03-17","high_c_west","high","west","c",19.4355257936508,NA,"temp.max"
"2017-03-17","high_u_east","high","east","u",19.19765625,NA,"temp.max"
"2017-03-17","high_u_west","high","west","u",19.2056646825397,NA,"temp.max"
"2017-03-17","low_c_east","low","east","c",23.4380092592593,NA,"temp.max"
"2017-03-17","low_c_west","low","west","c",23.5287885802469,NA,"temp.max"
"2017-03-17","low_u_east","low","east","u",23.1840817901235,NA,"temp.max"
"2017-03-17","low_u_west","low","west","u",22.9039814814815,NA,"temp.max"
"2017-03-18","high_c_east","high","east","c",18.9880416666667,NA,"temp.max"
